,0,1,2,3,4
0,"Toni Kroos’ set to stay at Real Madrid with new deal until June 2024, here we go 🚨⚪️🇩🇪 #RealMadrid

The decision has been made, as called by @marca @jfelixdiaz.

Kroos never negotiated with any other club. Choice was between retirement or Madrid: he’s staying for one more year. https://t.co/NAjBZkYhss",63467,2023-04-16 10:29:16+00:00,https://t.co/NAjBZkYhss,['http://pbs.twimg.com/media/Ft1D5u1XgAcOVA2.jpg']
1,"RT @FabrizioRomano: Bayer Leverkusen are now set to sign Brazilian talented fullback Arthur from America MG, here we go! 🚨🔴🇧🇷

Medical sche…",0,2023-04-01 02:29:42+00:00,https://t.co/0xYWfPfaRO,[]
2,"Bayer Leverkusen are now set to sign Brazilian talented fullback Arthur from America MG, here we go! 🚨🔴🇧🇷

Medical scheduled in the next days, full agreement between clubs on €7m fee — contract until 2028.

Born in 2003, Arthur was called up with Seleçao and will join Bayer. https://t.co/g5HNHX9XVS https://t.co/0xYWfPfaRO",15468,2023-03-31 18:30:58+00:00,https://t.co/lsDRDVgYcZ,['http://pbs.twimg.com/media/FskXmxKWYAgYX9t.jpg']
3,"RT @FabrizioRomano: Christopher Nkunku deal, signed and sealed — here we go now confirmed. All documents and contracts are also signed, it’…",0,2023-03-13 22:02:42+00:00,https://t.co/iA2JhMNRKn,[]
4,"RT @GWR: If Fabrizio tweets this, it must be official. Record books, here we go ✅",0,2023-02-18 18:09:28+00:00,https://t.co/tvcwaJwDeZ,[]
5,"Palmeiras are closing in on deal to sign Andrey Santos on loan from Chelsea, here we go! Verbal agreement as work permit has not been conceded 🚨🔵🇧🇷 #CFC

❗️Understand loan deal will be until December but Chelsea have €1.5m re-call clause in June.

Andrey will travel in 48/56h. https://t.co/lsDRDVgYcZ",24979,2023-02-18 00:18:50+00:00,https://t.co/apTQ9yUjUg,['http://pbs.twimg.com/media/FpNVj6AX0AEa7pV.jpg']
6,"Julián Araujo to Barcelona, here we go! Mexican right back will travel tomorrow to Barcelona — deal finally done after crazy Deadline Day saga. 🚨🔵🔴🇲🇽 #FCB

Araujo will sign a contract until June 2026, deal agreed with LA Galaxy for bit less than €4m total package. It’s done. https://t.co/iA2JhMNRKn",70340,2023-02-15 12:00:55+00:00,https://t.co/uZzyMeoysd,['http://pbs.twimg.com/media/FpAZfJnWcAIMLSt.jpg']
7,"EXCL: Chelsea have now reached full verbal agreement with Thiago Silva on a new contract valid until June 2024, here we go! 🚨🔵🇧🇷 #CFC

Draft of new deal being prepared— it’s all done and agreed verbally as Thiago has given the green light.

New contract to be signed soon. https://t.co/tvcwaJwDeZ",55939,2023-02-10 10:19:57+00:00,https://t.co/Npc3sQNgiT,['http://pbs.twimg.com/media/FomSbhVXwAE7n2N.jpg']
8,"Nicolò Zaniolo to Galatasaray, here we go. Permanent deal agreed, fee close to €20m with add-ons — contract will be valid until 2027. 🚨🟡🔴 #Galatasaray

Deal will include €35m release clause.

✈️ Zaniolo, set to fly to Istanbul today as expected. Medical tests scheduled. https://t.co/apTQ9yUjUg",43534,2023-02-07 11:01:51+00:00,https://t.co/eUNa8itQyo,['http://pbs.twimg.com/media/FoW_P_1XwAEXVDN.jpg']
9,@AleCattelan @Inter here we go! 😂🔵 #StaseraCeCattelan https://t.co/uZzyMeoysd,1375,2023-02-02 22:42:13+00:00,https://t.co/7ESBb57bNp,['http://pbs.twimg.com/media/Fn_vmhFX0AAD-Fm.jpg']
10,"André Ayew to Nottingham Forest, here we go! Agreement completed now on a six month deal, Ayew’s already in UK to undergo medical tests 🚨🔴🌳🇬🇭 #NFFC

Ayew was available as free agent. https://t.co/Npc3sQNgiT",34309,2023-02-02 14:55:34+00:00,https://t.co/CgV6OBfJTV,['http://pbs.twimg.com/media/Fn-Eyn2XgAQa_cO.jpg']
11,"Espanyol are set to sign Fernando Pacheco, here we go! Documents are signed and registered with La Liga 🔵🤝🏻 #DeadlineDay https://t.co/eUNa8itQyo",13080,2023-01-31 22:52:58+00:00,https://t.co/fK9AyHo6Zw,['http://pbs.twimg.com/media/Fn1ezkMXEAE_lTI.jpg']
12,"Keylor Navas to Nottingham Forest, here we go! Agreement in place on a loan deal from PSG until the end of the season. 🚨🌳🇨🇷 #DeadlineDay

Keylor has accepted Forest days ago and it’s now sealed, documents finally signed.

Boarding completed - ✈️ Nottingham @TurkishAirlines https://t.co/7ESBb57bNp",44951,2023-01-31 22:14:46+00:00,https://t.co/1SRjxKxDo2,['http://pbs.twimg.com/media/Fn1WIpDXoAUtUAm.jpg']
13,"PSG are set to sign Hakim Ziyech, here we go! Deal agreed and unlocked on a loan move until June, NO buy option clause included. 🚨🔴🔵🇲🇦 #PSG

Paris Saint-Germain have deal in place with Chelsea, medical done.

Ziyech only wanted PSG.

✈️ Boarding &gt; Paris @TurkishAirlines https://t.co/CgV6OBfJTV",67060,2023-01-31 22:05:48+00:00,https://t.co/gbAGqSKfpJ,['http://pbs.twimg.com/media/Fn1UFXtXoAgx9Bl.jpg']
14,"Official, confirmed: the new @adidasfootball Predator Accuracy 🎯

Deal is done — here we go 🚨🤝 

#missnothing #ad https://t.co/fK9AyHo6Zw",25208,2023-01-31 21:31:51+00:00,https://t.co/fdQgsVU1E0,['http://pbs.twimg.com/media/Fn1MUGWXgAUB4cx.jpg']
